2026-09-23 18:44:49 selected for rerun: MW/w0.0/M120 (photo: )
2026-09-23 18:44:50 selected for rerun: MW/w0.2/M120 (photo: )
2026-09-23 18:44:50 selected for rerun: MW/w0.4/M120 (photo: )
2026-09-23 18:44:51 selected for rerun: MW/w0.6/M120 (photo: )
2026-09-23 18:44:51 selected for rerun: MW/w0.6/M5.0 (photo: x850)
2026-09-23 18:44:51 selected for rerun: MW/w0.6/M5.2 (photo: x900)
2026-09-23 18:44:51 selected for rerun: MW/w0.6/M5.4 (photo: x900)
2026-09-23 18:44:51 selected for rerun: MW/w0.6/M5.6 (photo: x900)
2026-09-23 18:44:51 selected for rerun: MW/w0.6/M5.8 (photo: x950)
2026-09-23 18:44:51 selected for rerun: MW/w0.6/M6.0 (photo: x950)
2026-09-23 18:44:51 selected for rerun: MW/w0.6/M6.5 (photo: 1000)
2026-09-23 18:44:51 selected for rerun: MW/w0.6/M7.0 (photo: x100)
2026-09-23 18:44:51 selected for rerun: MW/w0.6/M7.5 (photo: x150)
2026-09-23 18:44:51 selected for rerun: MW/w0.6/M8.0 (photo: x250)
2026-09-24 14:39:27 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.0/M50 (old limit: 1.0000000000000001E-01, photo: x600)
2026-09-24 14:39:27 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.0/M60 (old limit: 1.0000000000000001E-01, photo: x450)
2026-09-24 14:39:28 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.0/M80 (old limit: 1.0000000000000001E-01, photo: x600)
2026-09-24 14:39:28 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.2/M100 (old limit: 1.0000000000000001E-01, photo: x350)
2026-09-24 14:39:28 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.2/M120 (old limit: 1.0000000000000001E-01, photo: x600)
2026-09-24 14:39:28 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.2/M17 (old limit: 1.0000000000000001E-01, photo: x350)
2026-09-24 14:39:28 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.2/M21 (old limit: 1.0000000000000001E-01, photo: x150)
2026-09-24 14:39:29 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.2/M24 (old limit: 1.0000000000000001E-01, photo: x350)
2026-09-24 14:39:29 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.2/M30 (old limit: 1.0000000000000001E-01, photo: x800)
2026-09-24 14:39:29 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.2/M40 (old limit: 1.0000000000000001E-01, photo: x900)
2026-09-24 14:39:29 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.2/M50 (old limit: 1.0000000000000001E-01, photo: x450)
2026-09-24 14:39:29 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.2/M60 (old limit: 1.0000000000000001E-01, photo: x100)
2026-09-24 14:39:29 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.2/M80 (old limit: 1.0000000000000001E-01, photo: x700)
2026-09-24 14:39:30 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M100 (old limit: 1.0000000000000001E-01, photo: x950)
2026-09-24 14:39:30 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M13 (old limit: 1.0000000000000001E-01, photo: x200)
2026-09-24 14:39:30 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M14 (old limit: 1.0000000000000001E-01, photo: x250)
2026-09-24 14:39:30 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M15 (old limit: 1.0000000000000001E-01, photo: x350)
2026-09-24 14:39:30 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M16 (old limit: 1.0000000000000001E-01, photo: x450)
2026-09-24 14:39:30 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M17 (old limit: 1.0000000000000001E-01, photo: x550)
2026-09-24 14:39:30 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M18 (old limit: 1.0000000000000001E-01, photo: x700)
2026-09-24 14:39:31 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M19 (old limit: 1.0000000000000001E-01, photo: x850)
2026-09-24 14:39:31 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M20 (old limit: 1.0000000000000001E-01, photo: x050)
2026-09-24 14:39:31 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M21 (old limit: 1.0000000000000001E-01, photo: x350)
2026-09-24 14:39:31 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M22 (old limit: 1.0000000000000001E-01, photo: x450)
2026-09-24 14:39:31 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M23 (old limit: 1.0000000000000001E-01, photo: x700)
2026-09-24 14:39:31 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M24 (old limit: 1.0000000000000001E-01, photo: x050)
2026-09-24 14:39:31 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M25 (old limit: 1.0000000000000001E-01, photo: x550)
2026-09-24 14:39:31 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M30 (old limit: 1.0000000000000001E-01, photo: x400)
2026-09-24 14:39:31 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M40 (old limit: 1.0000000000000001E-01, photo: x300)
2026-09-24 14:39:32 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M50 (old limit: 1.0000000000000001E-01, photo: x750)
2026-09-24 14:39:32 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M60 (old limit: 1.0000000000000001E-01, photo: x600)
2026-09-24 14:39:32 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.4/M80 (old limit: 1.0000000000000001E-01, photo: x950)
2026-09-24 14:39:32 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M10 (old limit: 1.0000000000000001E-01, photo: x100)
2026-09-24 14:39:32 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M11 (old limit: 1.0000000000000001E-01, photo: x050)
2026-09-24 14:39:33 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M12 (old limit: 1.0000000000000001E-01, photo: x050)
2026-09-24 14:39:33 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M120 (old limit: 1.0000000000000001E-01, photo: x650)
2026-09-24 14:39:33 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M13 (old limit: 1.0000000000000001E-01, photo: x200)
2026-09-24 14:39:33 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M14 (old limit: 1.0000000000000001E-01, photo: x350)
2026-09-24 14:39:33 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M15 (old limit: 1.0000000000000001E-01, photo: x550)
2026-09-24 14:39:33 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M16 (old limit: 1.0000000000000001E-01, photo: x700)
2026-09-24 14:39:33 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M17 (old limit: 1.0000000000000001E-01, photo: x900)
2026-09-24 14:39:33 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M18 (old limit: 1.0000000000000001E-01, photo: x150)
2026-09-24 14:39:33 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M19 (old limit: 1.0000000000000001E-01, photo: x500)
2026-09-24 14:39:34 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M20 (old limit: 1.0000000000000001E-01, photo: x850)
2026-09-24 14:39:34 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M21 (old limit: 1.0000000000000001E-01, photo: x550)
2026-09-24 14:39:34 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M22 (old limit: 1.0000000000000001E-01, photo: 5000)
2026-09-24 14:39:34 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M23 (old limit: 1.0000000000000001E-01, photo: x250)
2026-09-24 14:39:34 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M24 (old limit: 1.0000000000000001E-01, photo: x150)
2026-09-24 14:39:34 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M25 (old limit: 1.0000000000000001E-01, photo: 8000)
2026-09-24 14:39:34 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M30 (old limit: 1.0000000000000001E-01, photo: x550)
2026-09-24 14:39:35 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M5.0 (old limit: 1.0000000000000001E-01, photo: x900)
2026-09-24 14:39:35 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M5.2 (old limit: 1.0000000000000001E-01, photo: x950)
2026-09-24 14:39:35 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M5.4 (old limit: 1.0000000000000001E-01, photo: x950)
2026-09-24 14:39:35 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M5.6 (old limit: 1.0000000000000001E-01, photo: x950)
2026-09-24 14:39:35 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M5.8 (old limit: 1.0000000000000001E-01, photo: x950)
2026-09-24 14:39:35 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M6.0 (old limit: 1.0000000000000001E-01, photo: 1000)
2026-09-24 14:39:35 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M6.5 (old limit: 1.0000000000000001E-01, photo: x050)
2026-09-24 14:39:35 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M7.0 (old limit: 1.0000000000000001E-01, photo: x050)
2026-09-24 14:39:35 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M7.5 (old limit: 1.0000000000000001E-01, photo: x100)
2026-09-24 14:39:36 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M8.0 (old limit: 1.0000000000000001E-01, photo: x100)
2026-09-24 14:39:36 selected for rerun (rerun_260924_1439_tasks.txt): SMC/w0.6/M9.0 (old limit: 1.0000000000000001E-01, photo: x100)
